pubkey,scid,channel_capacity,outgoing_reputation,incoming_revenue
02fe6a27ddcb2dd9fa8479fe1d52549b5932079a493b51f1409fa2c5878f1bc07c,335351046537216,10000000000,461283497,65578
02fe6a27ddcb2dd9fa8479fe1d52549b5932079a493b51f1409fa2c5878f1bc07c,390326627926016,10000000000,483438,12013269
02a2e6a8709be5733e76556bf7f0482b7661dc8acf4724d681ff2d8d975cc52edb,391426139553792,1600625000,0,72
02a2e6a8709be5733e76556bf7f0482b7661dc8acf4724d681ff2d8d975cc52edb,392525651181568,3154337000,72,0
032edd981ea842209bd1f8bf5e8b753134fbee4a5efe0d928bc05fc44c67079622,434307093037056,3000000000,173428,166339951
032edd981ea842209bd1f8bf5e8b753134fbee4a5efe0d928bc05fc44c67079622,527765581398016,3198574000,171016766,1306
032edd981ea842209bd1f8bf5e8b753134fbee4a5efe0d928bc05fc44c67079622,550855325581312,357573000,58085,247253
032edd981ea842209bd1f8bf5e8b753134fbee4a5efe0d928bc05fc44c67079622,526666069770240,3399741000,0,4659837
0399aec05c7eadfcfab9ae0ede812e03e1e0e22914ec601fbd61f377762355bb71,591537255809024,10000000000,380392,75231
0399aec05c7eadfcfab9ae0ede812e03e1e0e22914ec601fbd61f377762355bb71,565148976742400,3000000000,719061,1239262
0399aec05c7eadfcfab9ae0ede812e03e1e0e22914ec601fbd61f377762355bb71,559651418603520,2000000000,531568,996969
0399aec05c7eadfcfab9ae0ede812e03e1e0e22914ec601fbd61f377762355bb71,589338232553472,5000000000,1206179,2190926
0399aec05c7eadfcfab9ae0ede812e03e1e0e22914ec601fbd61f377762355bb71,567347999997952,16384128000,2795712,1130521
02050c19efa483b14810bd4a83dd0c86d76c2c968e6606624b65b4a78907b6aed4,560750930231296,1000000000,0,0
0223c154b52d907a9d763c6f0c356f5d665d6b5046992355bbcfa58cfa2146700e,385928581414912,1000000000,3633,608
0223c154b52d907a9d763c6f0c356f5d665d6b5046992355bbcfa58cfa2146700e,388127604670464,2705056000,608,3633
0242c1650f320c43f3600ebf3b5fcaf566760fcd421f35b68fd1e39a31b29ef540,427710023270400,7500000000,29808,49952
0242c1650f320c43f3600ebf3b5fcaf566760fcd421f35b68fd1e39a31b29ef540,398023209320448,5000000000,66668,14583
0242c1650f320c43f3600ebf3b5fcaf566760fcd421f35b68fd1e39a31b29ef540,538760697675776,15000000000,43193,183780
0242c1650f320c43f3600ebf3b5fcaf566760fcd421f35b68fd1e39a31b29ef540,371634930253824,4000000000,182731,25874
0242c1650f320c43f3600ebf3b5fcaf566760fcd421f35b68fd1e39a31b29ef540,438705139548160,6000000000,0,48214
03ae641aa89c4d2c0034b31bad23a4f80f841d593ddd52f7f35cf7896d0ef8a594,381530534903808,8000000000,6004,300012
03ae641aa89c4d2c0034b31bad23a4f80f841d593ddd52f7f35cf7896d0ef8a594,406819302342656,5000000000,8817,149586
03ae641aa89c4d2c0034b31bad23a4f80f841d593ddd52f7f35cf7896d0ef8a594,379331511648256,6000000000,8554,69490
03ae641aa89c4d2c0034b31bad23a4f80f841d593ddd52f7f35cf7896d0ef8a594,417814418620416,3000000000,12721,28337
03ae641aa89c4d2c0034b31bad23a4f80f841d593ddd52f7f35cf7896d0ef8a594,377132488392704,4000000000,437098,4698
03ae641aa89c4d2c0034b31bad23a4f80f841d593ddd52f7f35cf7896d0ef8a594,356241767464960,16000000000,0,1329
03ae641aa89c4d2c0034b31bad23a4f80f841d593ddd52f7f35cf7896d0ef8a594,440904162803712,5000000000,83865,3616
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,505775348842496,88888888000,12761332,22106923
