pubkey,scid,channel_capacity,outgoing_reputation,incoming_revenue
02cb0b711dcc2887736227aeeecb81ceadd372d978e7eeb9c85cb076b3420dbd3e,495879744192512,6000000000,0,2401
02cb0b711dcc2887736227aeeecb81ceadd372d978e7eeb9c85cb076b3420dbd3e,503576325586944,6000000000,362633,5818
02cb0b711dcc2887736227aeeecb81ceadd372d978e7eeb9c85cb076b3420dbd3e,454098302337024,10000000000,0,11647
02cb0b711dcc2887736227aeeecb81ceadd372d978e7eeb9c85cb076b3420dbd3e,571746046509056,10000000000,18185,360964
031bdbb93de14f5c3b1295fb964e6acce26d1dbfef8b18dfffdd45586551dcf1be,477188046520320,2000000000,0,0
031bdbb93de14f5c3b1295fb964e6acce26d1dbfef8b18dfffdd45586551dcf1be,599233837203456,10000000000,89151,0
031bdbb93de14f5c3b1295fb964e6acce26d1dbfef8b18dfffdd45586551dcf1be,489282674425856,5000000000,0,89151
031bdbb93de14f5c3b1295fb964e6acce26d1dbfef8b18dfffdd45586551dcf1be,465093418614784,10000000000,0,0
034571b9db808937e265a230fbafb1df2a1a6a9f0b291eed2df31a6b5f598978cc,550855325581312,357573000,0,0
034571b9db808937e265a230fbafb1df2a1a6a9f0b291eed2df31a6b5f598978cc,551954837209088,28311000,0,0
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,446401720942592,3066952000,0,7772
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,424411488387072,2159000000,231727,0
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,499178279075840,2000000000,0,3
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,532163627909120,10000000000,0,308913
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,448600744198144,8500000000,10925,0
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,526666069770240,3399741000,2684,179
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,467292441870336,5000000000,0,0
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,456297325592576,5000000000,70938,0
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,442003674431488,5000000000,600,0
0399aec05c7eadfcfab9ae0ede812e03e1e0e22914ec601fbd61f377762355bb71,589338232553472,5000000000,910341,2202714
0399aec05c7eadfcfab9ae0ede812e03e1e0e22914ec601fbd61f377762355bb71,559651418603520,2000000000,409035,996969
0399aec05c7eadfcfab9ae0ede812e03e1e0e22914ec601fbd61f377762355bb71,565148976742400,3000000000,719053,970251
0399aec05c7eadfcfab9ae0ede812e03e1e0e22914ec601fbd61f377762355bb71,591537255809024,10000000000,388291,55703
0399aec05c7eadfcfab9ae0ede812e03e1e0e22914ec601fbd61f377762355bb71,567347999997952,16384128000,2607762,808800
0242c1650f320c43f3600ebf3b5fcaf566760fcd421f35b68fd1e39a31b29ef540,371634930253824,4000000000,380150,26459
0242c1650f320c43f3600ebf3b5fcaf566760fcd421f35b68fd1e39a31b29ef540,438705139548160,6000000000,2199,50499
0242c1650f320c43f3600ebf3b5fcaf566760fcd421f35b68fd1e39a31b29ef540,398023209320448,5000000000,65690,12725
0242c1650f320c43f3600ebf3b5fcaf566760fcd421f35b68fd1e39a31b29ef540,427710023270400,7500000000,30651,51172
0242c1650f320c43f3600ebf3b5fcaf566760fcd421f35b68fd1e39a31b29ef540,538760697675776,15000000000,41339,379163
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,396923697692672,3000000000,37278,1172586
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,338649581420544,10000000000,21475606,96083
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,455197813964800,5000000000,334744,3493121
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,360639813976064,2500000000,138686,403128
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,498078767448064,2000000000,18711,83343
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,384829069787136,1600000000,48996,1186286
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,588238720925696,49698486000,2091319,6339
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,593736279064576,16777215000,241591,13674504
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,570646534881280,10000000000,61666,318619
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,443103186059264,5000000000,60171,2677778
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,504675837214720,2000000000,29075,558335
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,590437744181248,21654642000,824515,1687975
02cfdc6b60e5931d174a342b20b50d6a2a17c6e4ef8e077ea54069a3541ad50eb0,586039697670144,500000000,877,0
02cfdc6b60e5931d174a342b20b50d6a2a17c6e4ef8e077ea54069a3541ad50eb0,575044581392384,10000000000,0,877
026209a739dbf4ab8c73db56773a61247e92fecc53ec5c8f7ae41f6d11fec64a04,347445674442752,500000000,4347,251
026209a739dbf4ab8c73db56773a61247e92fecc53ec5c8f7ae41f6d11fec64a04,406819302342656,5000000000,0,0
026209a739dbf4ab8c73db56773a61247e92fecc53ec5c8f7ae41f6d11fec64a04,471690488381440,2000000000,0,0
026209a739dbf4ab8c73db56773a61247e92fecc53ec5c8f7ae41f6d11fec64a04,444202697687040,2000000000,251,4347
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,439804651175936,500000000,558515,119559
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,395824186064896,1800000000,50683,403372
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,583840674414592,3000000000,1792117,1321752
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,368336395370496,50000000000,0,5227
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,348545186070528,2000000000,307090,13944464
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,591537255809024,10000000000,7369003,0
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,449700255825920,500000000000,1854906,32046789
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,527765581398016,3198574000,262608,3012309
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,568447511625728,100000000000,144285,26223630
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,346346162814976,150000000000,65132465,391573
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,473889511636992,2000000000,328426,20386
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,516770465120256,18449825000,1801,2322206
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,528865093025792,20000000000,278897,7307993
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,340848604676096,10000000000,60081854,236459
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,531064116281344,10000000000,460288,1009841
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,410117837225984,4000000000,0,282754
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,383729558159360,6500000000,0,3833062
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,420013441875968,4000000000,296635,5840002
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,372734441881600,4000000000,436946,83375
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,426610511642624,2500000000,16402,4446109
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,440904162803712,5000000000,64905,86037
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,374933465137152,10000001000,436122,33151500
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,373833953509376,4000000000,836588,951382
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,438705139548160,6000000000,816601,4230608
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,369435906998272,500000000,207866,51470
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,431008558153728,4000000000,1387337,1838302
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,562949953486848,4000000000,286128,346995
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,465093418614784,10000000000,334758,232941
02aac548b877279c30f3abbb7301de93096e3b87144fc484dc3409bb0d6bd566b1,347445674442752,500000000,282895,297079
02aac548b877279c30f3abbb7301de93096e3b87144fc484dc3409bb0d6bd566b1,370535418626048,1100000000,231286,113596
02aac548b877279c30f3abbb7301de93096e3b87144fc484dc3409bb0d6bd566b1,391426139553792,1600625000,77296,2895
02aac548b877279c30f3abbb7301de93096e3b87144fc484dc3409bb0d6bd566b1,378232000020480,957997000,0,1609265
02aac548b877279c30f3abbb7301de93096e3b87144fc484dc3409bb0d6bd566b1,359540302348288,2000000000,2405042,620328
02aac548b877279c30f3abbb7301de93096e3b87144fc484dc3409bb0d6bd566b1,487083651170304,2000000000,928488,1281867
02d64d032d72d826b0b3ecbe359f11236995abd2491b5868c0abff42f7a0327a90,485984139542528,2000000000,2297,6529
02d64d032d72d826b0b3ecbe359f11236995abd2491b5868c0abff42f7a0327a90,354042744209408,500000000,8449,18169
02d64d032d72d826b0b3ecbe359f11236995abd2491b5868c0abff42f7a0327a90,355142255837184,10009953000,18167,612
02d64d032d72d826b0b3ecbe359f11236995abd2491b5868c0abff42f7a0327a90,414515883737088,1000000000,0,3600
0313827390afcae8876dc7d56c417d5698effb237e6eab45a364ac71e9e2044c9a,561850441859072,10000000000,134354,242275
0313827390afcae8876dc7d56c417d5698effb237e6eab45a364ac71e9e2044c9a,456297325592576,5000000000,0,131856
0313827390afcae8876dc7d56c417d5698effb237e6eab45a364ac71e9e2044c9a,474989023264768,2000000000,150428,11392
0313827390afcae8876dc7d56c417d5698effb237e6eab45a364ac71e9e2044c9a,455197813964800,5000000000,218524,117762
037c65e34444c37deaccde1f61f03b93e22b3d7451894d836f60132ee5a6f486ed,418913930248192,7777777000,0,0
037c65e34444c37deaccde1f61f03b93e22b3d7451894d836f60132ee5a6f486ed,536561674420224,8000000000,0,178810
037c65e34444c37deaccde1f61f03b93e22b3d7451894d836f60132ee5a6f486ed,529964604653568,7700000000,0,0
037c65e34444c37deaccde1f61f03b93e22b3d7451894d836f60132ee5a6f486ed,571746046509056,10000000000,178810,0
037c65e34444c37deaccde1f61f03b93e22b3d7451894d836f60132ee5a6f486ed,558551906975744,10000000000,0,0
037c65e34444c37deaccde1f61f03b93e22b3d7451894d836f60132ee5a6f486ed,390326627926016,10000000000,0,0
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,584940186042368,10000000000,0,0
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,525566558142464,10000000000,0,40525
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,566248488370176,10000000000,0,4546331
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,537661186048000,10000000000,0,0
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,546457279070208,10000000000,11818567,0
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,495879744192512,6000000000,40302,0
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,339749093048320,10000000000,0,189249
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,458496348848128,6000000000,0,0
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,576144093020160,10000000000,0,349725
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,515670953492480,39842776000,0,5455732
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,493680720936960,6000000000,0,1289385
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,460695372103680,1200000000,21306,9239
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,514571441864704,18070817000,2486542,1139462
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,510173395353600,16777215000,3902,57502
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,361739325603840,3000000000,373155,93363
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,516770465120256,18449825000,8852889,17477
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,329853488398336,10000000000,48160567,16843
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,547556790697984,5000000000,75511,247253
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,512372418609152,16777215000,17443527,238495
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,517869976748032,16777215000,6665565,1454829
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,502476813959168,3000000000,3042892,90174
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,416714906992640,21000000000,3526676,6885756
