pubkey,scid,channel_capacity,outgoing_reputation,incoming_revenue
0242902a3a5aa34829db9def5b44939f9f459f4ee08e97cba18516c62ddf8ec9e6,362838837231616,500000000,1204510,296173
0242902a3a5aa34829db9def5b44939f9f459f4ee08e97cba18516c62ddf8ec9e6,350744209326080,130000000,15802,107535
0242902a3a5aa34829db9def5b44939f9f459f4ee08e97cba18516c62ddf8ec9e6,361739325603840,300000000,403705,1220298
0294774ee02a9faa5a5870061f7f4833686184ad14a0b163c49442516c9edac1db,412316860481536,100000000000,0,0
031fab3f6a8ae8588668fbe4bf4cae14c3aaa4134330b1798b81e60aaf9662ff20,418913930248192,16770000000,0,0
031fab3f6a8ae8588668fbe4bf4cae14c3aaa4134330b1798b81e60aaf9662ff20,420013441875968,16770000000,0,0
031fab3f6a8ae8588668fbe4bf4cae14c3aaa4134330b1798b81e60aaf9662ff20,417814418620416,16770000000,0,0
02b196899ff33d892562c557a37f56a3702f14eba8aee8585625ed8cf4217f2ab3,341948116303872,250000000,7802753,5985435
02b196899ff33d892562c557a37f56a3702f14eba8aee8585625ed8cf4217f2ab3,343047627931648,2000000000,5985435,7802753
035fcbf3d34c71ffe7404c5660242f9289991021cc3d52098d0038f839552365a3,380431023276032,2000000000,0,0
035fcbf3d34c71ffe7404c5660242f9289991021cc3d52098d0038f839552365a3,347445674442752,60000000,134,89094
035fcbf3d34c71ffe7404c5660242f9289991021cc3d52098d0038f839552365a3,365037860487168,1100000000,89094,133
0202b5d54467d075893d46b6205067bbab2bcbc632513cd15661ad803d2dcb4ce3,340848604676096,100000000,174,14541
0202b5d54467d075893d46b6205067bbab2bcbc632513cd15661ad803d2dcb4ce3,402421255831552,500000000,14541,174
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,409018325598208,25000000000,3975696440,1246070
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,336450558164992,2000000000,3089153,277187
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,343047627931648,2000000000,1599745,1734327
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,374933465137152,550000000,1050428,663031
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,378232000020480,2000000000,7214230,3939884
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,394724674437120,100000000000,2728503,5432350672853
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,418913930248192,16770000000,5428368590278,1435305
024729f3d5f7794f4df09bfdb7ca23a4fbe6c38997cdd213c694a2cca1c27cbb17,416714906992640,16770000000,0,831729
024729f3d5f7794f4df09bfdb7ca23a4fbe6c38997cdd213c694a2cca1c27cbb17,421112953503744,16770000000,831729,0
02841286ba5314ac9a4a29eb8d558b30fec348f22e22351ff8896288dede68e6a7,395824186064896,1000000000,8884,70764
02841286ba5314ac9a4a29eb8d558b30fec348f22e22351ff8896288dede68e6a7,405719790714880,250000000,70764,8884
02aeb397b7212dc1de5252684f9a1f1957d8bcc9864193b538ce78f9558685d666,360639813976064,500000000,548479,458016
02aeb397b7212dc1de5252684f9a1f1957d8bcc9864193b538ce78f9558685d666,359540302348288,5000223000,458016,548479
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,373833953509376,84803717000,1031376,1643121
