pubkey,scid,channel_capacity,outgoing_reputation,incoming_revenue
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,400222232576000,100000000000,82152,923935320
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,399122720948224,100000000000,188257494,59240376
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,351843720953856,1000000000,6905215,759223
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,414515883737088,99995000000,33285067,1658715695
02bf145fe009fef1230f3f435b5e448db3470a1fdbff95d41cefa71b7d6f14fcda,349644697698304,90000000,0,0
033e8bc45cc79dabebd18507ba39b101c839240932174bff6ddf34631305881cc3,352943232581632,1620000000,24766,117057
033e8bc45cc79dabebd18507ba39b101c839240932174bff6ddf34631305881cc3,346346162814976,2000000000,950854,294986
033e8bc45cc79dabebd18507ba39b101c839240932174bff6ddf34631305881cc3,363938348859392,1000000000,258422,1001003
033e8bc45cc79dabebd18507ba39b101c839240932174bff6ddf34631305881cc3,345246651187200,1500000000,1197339,1018352
03440f4dd43f5e30ffa0fd37eb99e2c27241d71e4fc5b3ea1e9c04a289a51c7ae0,387028093042688,2000000000,896117,996824
03440f4dd43f5e30ffa0fd37eb99e2c27241d71e4fc5b3ea1e9c04a289a51c7ae0,351843720953856,1000000000,1785612,2497377
03440f4dd43f5e30ffa0fd37eb99e2c27241d71e4fc5b3ea1e9c04a289a51c7ae0,356241767464960,2000000000,2088429,666580
03440f4dd43f5e30ffa0fd37eb99e2c27241d71e4fc5b3ea1e9c04a289a51c7ae0,346346162814976,2000000000,0,609391
0338bbdb38184852f728ef833e9ca0d01e134e9490f5b3fd3219b3ad9eaa0fc49d,388127604670464,2000000000,14649319,15874292
0338bbdb38184852f728ef833e9ca0d01e134e9490f5b3fd3219b3ad9eaa0fc49d,390326627926016,10000000000,16728781,36468350
0338bbdb38184852f728ef833e9ca0d01e134e9490f5b3fd3219b3ad9eaa0fc49d,406819302342656,6710669000,34040361,13075859
02841286ba5314ac9a4a29eb8d558b30fec348f22e22351ff8896288dede68e6a7,395824186064896,1000000000,4037,56592
02841286ba5314ac9a4a29eb8d558b30fec348f22e22351ff8896288dede68e6a7,405719790714880,250000000,56592,4037
03c7ec8ecec5386a6ce9476d8d55fa5bb22d113dce7c1c47c7df71b1741ffde972,407918813970432,500000000,1253,17227
03c7ec8ecec5386a6ce9476d8d55fa5bb22d113dce7c1c47c7df71b1741ffde972,405719790714880,250000000,40056,35723
03c7ec8ecec5386a6ce9476d8d55fa5bb22d113dce7c1c47c7df71b1741ffde972,404620279087104,200000000,34466,22834
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,333152023281664,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,330953000026112,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,332052511653888,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,334251534909440,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,329853488398336,10000000000,0,0
035a43121d24b2ff465e85af9c07963701f259b5ce4ee636e3aeb503cc64142c11,335351046537216,50000000000,0,0
03796678b7111abef10f3ff85b88f81f9cfe81cac7e3628a11af1679ed912757d5,330953000026112,10000000000,870486,291937
03796678b7111abef10f3ff85b88f81f9cfe81cac7e3628a11af1679ed912757d5,393625162809344,50000000,291937,870486
02b196899ff33d892562c557a37f56a3702f14eba8aee8585625ed8cf4217f2ab3,341948116303872,250000000,7045203,516811
02b196899ff33d892562c557a37f56a3702f14eba8aee8585625ed8cf4217f2ab3,343047627931648,2000000000,516811,7045203
035fcbf3d34c71ffe7404c5660242f9289991021cc3d52098d0038f839552365a3,347445674442752,60000000,26,6338
035fcbf3d34c71ffe7404c5660242f9289991021cc3d52098d0038f839552365a3,380431023276032,2000000000,0,1
035fcbf3d34c71ffe7404c5660242f9289991021cc3d52098d0038f839552365a3,365037860487168,1100000000,6338,23
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,373833953509376,84803717000,3213562,1392215644
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,352943232581632,1620000000,8589755,2819550
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,385928581414912,2000000000,2190713,2177299
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,384829069787136,1000000000,14967639,9057663
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,335351046537216,50000000000,16702548,18487074
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,400222232576000,100000000000,1487301743,20842853
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,411217348853760,25000000000,1148754,88028036
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,368336395370496,3000000000,3005629,3492388
035d681f3696fc5039d304c621f6f39ba6e0aa0ad482065417720d4f820f8dcb0e,350744209326080,130000000,21657,2
035d681f3696fc5039d304c621f6f39ba6e0aa0ad482065417720d4f820f8dcb0e,347445674442752,60000000,23,14178
035d681f3696fc5039d304c621f6f39ba6e0aa0ad482065417720d4f820f8dcb0e,348545186070528,80000000,62,291824
035d681f3696fc5039d304c621f6f39ba6e0aa0ad482065417720d4f820f8dcb0e,349644697698304,90000000,6,59024
035d681f3696fc5039d304c621f6f39ba6e0aa0ad482065417720d4f820f8dcb0e,383729558159360,2000000000,343341,67
021227d4be948ab84613d5dbd47b6e148cfb811432d27eb92e80d28382b1b27d27,341948116303872,250000000,289937,34161
021227d4be948ab84613d5dbd47b6e148cfb811432d27eb92e80d28382b1b27d27,337550069792768,250000000,34161,289937
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,359540302348288,5000223000,2147456,4004770
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,338649581420544,1000000000,1788497,1061625
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,381530534903808,50000000000,5721608,4484946
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,344147139559424,1000000000,566360,672572
03d213f4115a55f0d0ab185434fcb6d3f119fdede11e901fe57f8b91d57ed316e6,344147139559424,1000000000,0,0
033f481fe0e9344228b58e0297162bfa8d648d5043c12b6323df5eac61bd39094c,354042744209408,3500000000,0,2521448
033f481fe0e9344228b58e0297162bfa8d648d5043c12b6323df5eac61bd39094c,377132488392704,700000000,2521448,0
03382704812aca55bf853b353ecd3edef7e16a9420d7beb7e7d6b6c7fe2082252a,395824186064896,1000000000,492573,2319125
03382704812aca55bf853b353ecd3edef7e16a9420d7beb7e7d6b6c7fe2082252a,368336395370496,3000000000,1240449,322758
03382704812aca55bf853b353ecd3edef7e16a9420d7beb7e7d6b6c7fe2082252a,379331511648256,2000000000,1258901,236693
03382704812aca55bf853b353ecd3edef7e16a9420d7beb7e7d6b6c7fe2082252a,371634930253824,75000000,34466,147835
021cb32426ed1a6be9533801e7c56a70ffc1c360a3a31819c3ae0a72e141d78000,391426139553792,2000000000,15956,34603
021cb32426ed1a6be9533801e7c56a70ffc1c360a3a31819c3ae0a72e141d78000,392525651181568,2000000000,34603,2620830
021cb32426ed1a6be9533801e7c56a70ffc1c360a3a31819c3ae0a72e141d78000,393625162809344,50000000,2604850,0
02f5be5f3d54b66bf531b96f06327f59cd139f6e2c301cc0131a3f632025c2704c,372734441881600,80000000,0,0
03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5,415615395364864,99995000000,100067388,81180895155
03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5,421112953503744,16770000000,18187324084,10300879
03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5,411217348853760,25000000000,18991073,0
03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5,409018325598208,25000000000,9732651,25331828
03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5,412316860481536,100000000000,0,33645376207
03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5,420013441875968,16770000000,96560715873,14927067
0242902a3a5aa34829db9def5b44939f9f459f4ee08e97cba18516c62ddf8ec9e6,329853488398336,10000000000,6027231,293493
0242902a3a5aa34829db9def5b44939f9f459f4ee08e97cba18516c62ddf8ec9e6,362838837231616,500000000,405361,707176
0242902a3a5aa34829db9def5b44939f9f459f4ee08e97cba18516c62ddf8ec9e6,350744209326080,130000000,6541,95548
0242902a3a5aa34829db9def5b44939f9f459f4ee08e97cba18516c62ddf8ec9e6,361739325603840,300000000,1086255,6429150
0335e4265f783f37378e969c6a123557cf5d22cc97ec42ea3abff5dfaa64afea83,357341279092736,10000000000,0,5509959
0335e4265f783f37378e969c6a123557cf5d22cc97ec42ea3abff5dfaa64afea83,384829069787136,1000000000,5508840,0
0335e4265f783f37378e969c6a123557cf5d22cc97ec42ea3abff5dfaa64afea83,358440790720512,20000000000,0,35557
0335e4265f783f37378e969c6a123557cf5d22cc97ec42ea3abff5dfaa64afea83,336450558164992,2000000000,36684,0
027cd974e47086291bb8a5b0160a889c738f2712a703b8ea939985fd16f3aae67e,390326627926016,10000000000,952847,8715915
027cd974e47086291bb8a5b0160a889c738f2712a703b8ea939985fd16f3aae67e,416714906992640,16770000000,64661932,0
027cd974e47086291bb8a5b0160a889c738f2712a703b8ea939985fd16f3aae67e,417814418620416,16770000000,14761952354,3788289
027cd974e47086291bb8a5b0160a889c738f2712a703b8ea939985fd16f3aae67e,355142255837184,50000000000,0,41976703
